101000000010435,ORIENTAL INFRATRUST,4,1,0.01,INE07Z523018,0915-1530|1815-1915:17,2021-09-23,,NSE:OSEINTRUST-IV,10,10,10435,OSEINTRUST
10100000001044,AXISAMC - AXISBNKETF,4,1,0.01,INF846K01X63,0915-1530|1815-1915:17,2021-09-23,,NSE:AXISBNKETF-EQ,10,10,1044,AXISBNKETF
101000000010440,LUPIN LIMITED,0,1,0.05,INE326A01037,0915-1530|1815-1915:17,2021-09-23,,NSE:LUPIN-EQ,10,10,10440,LUPIN
101000000010447,UNITED SPIRITS LIMITED,0,1,0.05,INE854D01024,0915-1530|1815-1915:17,2021-09-23,,NSE:MCDOWELL-N-EQ,10,10,10447,MCDOWELL-N
101000000010453,SATIN CREDIT NET LTD,0,1,0.05,INE836B01017,0915-1530|1815-1915:17,2021-09-23,,NSE:SATIN-EQ,10,10,10453,SATIN
101000000010457,ARVIND SMARTSPACES LTD,0,1,0.05,INE034S01021,0915-1530|1815-1915:17,2021-09-23,,NSE:ARVSMART-EQ,10,10,10457,ARVSMART
101000000010473,POWER MECH PROJECTS LTD.,0,1,0.05,INE211R01019,0915-1530|1815-1915:17,2021-09-23,,NSE:POWERMECH-EQ,10,10,10473,POWERMECH
101000000010511,UTIAMC - UTINIFTETF,4,1,0.01,INF789FB1X41,0915-1530|1815-1915:17,2021-09-23,,NSE:UTINIFTETF-EQ,10,10,10511,UTINIFTETF
101000000010515,UTIAMC - UTISENSETF,4,1,0.01,INF789FB1X58,0915-1530|1815-1915:17,2021-09-23,,NSE:UTISENSETF-EQ,10,10,10515,UTISENSETF
101000000010516,FUTURE ENTERPRISES LTD,0,1,0.05,INE623B01027,0915-1530|1815-1915:17,2021-09-23,,NSE:FEL-EQ,10,10,10516,FEL
10100000001053,UFLEX LIMITED,0,1,0.05,INE516A01017,0915-1530|1815-1915:17,2021-09-23,,NSE:UFLEX-EQ,10,10,1053,UFLEX
101000000010534,SHARDA MOTOR INDS LTD,0,1,0.05,INE597I01028,0915-1530|1815-1915:17,2021-09-23,,NSE:SHARDAMOTR-BE,10,10,10534,SHARDAMOTR
101000000010557,NAVKAR CORPORATION LTD.,0,1,0.05,INE278M01019,0915-1530|1815-1915:17,2021-09-23,,NSE:NAVKARCORP-EQ,10,10,10557,NAVKARCORP
101000000010576,NIP IND ETF NIFTY BEES,4,1,0.01,INF204KB14I2,0915-1530|1815-1915:17,2021-09-23,,NSE:NIFTYBEES-EQ,10,10,10576,NIFTYBEES
101000000010577,KRBL LIMITED,0,1,0.05,INE001B01026,0915-1530|1815-1915:17,2021-09-23,,NSE:KRBL-EQ,10,10,10577,KRBL
101000000010578,MPS LIMITED,0,1,0.05,INE943D01017,0915-1530|1815-1915:17,2021-09-23,,NSE:MPSLTD-EQ,10,10,10578,MPSLTD
101000000010579,MARKSANS PHARMA LIMITED,0,1,0.05,INE750C01026,0915-1530|1815-1915:17,2021-09-23,,NSE:MARKSANS-EQ,10,10,10579,MARKSANS
101000000010580,TRANSPORT CORPN OF INDIA,0,1,0.05,INE688A01022,0915-1530|1815-1915:17,2021-09-23,,NSE:TCI-EQ,10,10,10580,TCI
101000000010588,SHRE PUSH CHEM & FERT LTD,0,1,0.05,INE712K01011,0915-1530|1815-1915:17,2021-09-23,,NSE:SHREEPUSHK-EQ,10,10,10588,SHREEPUSHK
101000000010599,GUJARAT GAS LIMITED,0,1,0.05,INE844O01030,0915-1530|1815-1915:17,2021-09-23,,NSE:GUJGASLTD-EQ,10,10,10599,GUJGASLTD
101000000010604,BHARTI AIRTEL LIMITED,0,1,0.05,INE397D01024,0915-1530|1815-1915:17,2021-09-23,,NSE:BHARTIARTL-EQ,10,10,10604,BHARTIARTL
101000000010618,SADBHAV INFRA PROJ LTD.,0,1,0.05,INE764L01010,0915-1530|1815-1915:17,2021-09-23,,NSE:SADBHIN-EQ,10,10,10618,SADBHIN
101000000010666,PUNJAB NATIONAL BANK,0,1,0.05,INE160A01022,0915-1530|1815-1915:17,2021-09-23,,NSE:PNB-EQ,10,10,10666,PNB
101000000010700,SURANA TELECOM AND POW LT,0,1,0.05,INE130B01031,0915-1530|1815-1915:17,2021-09-23,,NSE:SURANAT&P-EQ,10,10,10700,SURANAT&P
101000000010717,TIMES GUARANTY LIMITED,0,1,0.05,INE289C01025,0915-1530|1815-1915:17,2021-09-23,,NSE:TIMESGTY-EQ,10,10,10717,TIMESGTY
101000000010726,INDIAMART INTERMESH LTD,0,1,0.05,INE933S01016,0915-1530|1815-1915:17,2021-09-23,,NSE:INDIAMART-EQ,10,10,10726,INDIAMART
10100000001073,FOSECO INDIA LTD,0,1,0.05,INE519A01011,0915-1530|1815-1915:17,2021-09-23,,NSE:FOSECOIND-EQ,10,10,1073,FOSECOIND
101000000010738,ORACLE FIN SERV SOFT LTD.,0,1,0.05,INE881D01027,0915-1530|1815-1915:17,2021-09-23,,NSE:OFSS-EQ,10,10,10738,OFSS
101000000010753,UNION BANK OF INDIA,0,1,0.05,INE692A01016,0915-1530|1815-1915:17,2021-09-23,,NSE:UNIONBANK-EQ,10,10,10753,UNIONBANK
101000000010755,APTECH LIMITED,0,1,0.05,INE266F01018,0915-1530|1815-1915:17,2021-09-23,,NSE:APTECHT-EQ,10,10,10755,APTECHT
10100000001076,ZENSAR TECHNOLOGIES  LTD,0,1,0.05,INE520A01027,0915-1530|1815-1915:17,2021-09-23,,NSE:ZENSARTECH-EQ,10,10,1076,ZENSARTECH
101000000010768,ORIENTAL AROMATICS LTD,0,1,0.05,INE959C01023,0915-1530|1815-1915:17,2021-09-23,,NSE:OAL-EQ,10,10,10768,OAL
101000000010786,NOIDA TOLL BRIDGE CO LTD,0,1,0.05,INE781B01015,0915-1530|1815-1915:17,2021-09-23,,NSE:NOIDATOLL-EQ,10,10,10786,NOIDATOLL
101000000010791,NUCLEUS SOFTWARE EXPORTS,0,1,0.05,INE096B01018,0915-1530|1815-1915:17,2021-09-23,,NSE:NUCLEUS-EQ,10,10,10791,NUCLEUS
101000000010794,CANARA BANK,0,1,0.05,INE476A01014,0915-1530|1815-1915:17,2021-09-23,,NSE:CANBK-EQ,10,10,10794,CANBK
101000000010828,SEYA INDUSTRIES LIMITED,0,1,0.05,INE573R01012,0915-1530|1815-1915:17,2021-09-23,,NSE:SEYAIND-EQ,10,10,10828,SEYAIND
10100000001085,GABRIEL INDIA LTD,0,1,0.05,INE524A01029,0915-1530|1815-1915:17,2021-09-23,,NSE:GABRIEL-EQ,10,10,1085,GABRIEL
101000000010861,INDOSOLAR LIMITED,0,1,0.05,INE866K01015,0915-1530|1815-1915:17,2021-09-23,,NSE:INDOSOLAR-BZ,10,10,10861,INDOSOLAR
101000000010905,GENESYS INTL CORPN LTD,0,1,0.05,INE727B01026,0915-1530|1815-1915:17,2021-09-23,,NSE:GENESYS-EQ,10,10,10905,GENESYS
